nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles
nm0000516	Lee Majors	1939	\N	actor,music_department,producer	tt0081859,tt0071054,tt0058791,tt0096061
nm0000517	Terrence Malick	1943	\N	producer,writer,director	tt0069762,tt0077405,tt0478304,tt5827916
nm0000518	John Malkovich	1953	\N	actor,producer,writer	tt0887883,tt0094947,tt0107206,tt0120601
nm0000519	David Mamet	1947	\N	writer,producer,director	tt0120885,tt0120202,tt0104348,tt0093223
nm0000520	Michael Mann	1943	\N	producer,writer,director	tt0091474,tt0104691,tt0140352,tt0369339
nm0000521	Sophie Marceau	1966	\N	actress,director,writer	tt0143145,tt0112573,tt1194616,tt0082100
nm0000522	Vanessa Marcil	1968	\N	actress	tt0056758,tt0364828,tt0117500,tt0098749
nm0000523	Julianna Margulies	1966	\N	actress,producer,soundtrack	tt0108757,tt0288477,tt0417148,tt1174730
nm0000524	Mary Stuart Masterson	1966	\N	actress,producer,director	tt0101921,tt0106387,tt0109198,tt0094006
nm0000525	Heather Matarazzo	1982	\N	actress,producer,director	tt0247638,tt0118971,tt0498353,tt0114906
nm0000526	Samantha Mathis	1970	\N	actress,soundtrack,executive	tt0144084,tt0100436,tt0108255,tt0115759
nm0000527	Walter Matthau	1920	2000	actor,soundtrack,director	tt0063374,tt0060424,tt0056923,tt0072251
nm0000528	Mathilda May	1965	\N	actress,miscellaneous,soundtrack	tt0119395,tt0089489,tt0092797,tt0102130
nm0000529	Debi Mazar	1964	\N	actress,make_up_department,producer	tt1674771,tt0106375,tt0112950,tt0140352
nm0000530	Andrew McCarthy	1962	\N	actor,director,producer	tt2372162,tt2741602,tt0091790,tt0098627
nm0000531	Frances McDormand	1957	\N	actress,producer,soundtrack	tt1748122,tt0181875,tt5027774,tt0116282
nm0000532	Malcolm McDowell	1943	\N	actor,producer,soundtrack	tt0373883,tt0066921,tt0080025,tt0111280
nm0000533	Gates McFadden	1949	\N	actress,producer,miscellaneous	tt0112060,tt0092455,tt8806524,tt0091369
nm0000534	Kelly McGillis	1957	\N	actress,producer,soundtrack	tt0094608,tt0092099,tt1464580,tt0090329
nm0000535	Rose McGowan	1973	\N	actress,soundtrack,producer	tt0158552,tt0462322,tt1077258,tt0155776
nm0000536	Robert Duncan McNeill	1964	\N	actor,producer,director	tt0387054,tt0093507,tt0112178,tt0934814
nm0000537	Steve McQueen	1930	1980	actor,producer,stunts	tt0070511,tt0063688,tt0057115,tt0054047
nm0000538	Colm Meaney	1953	\N	actor,soundtrack,producer	tt0375912,tt0118880,tt0106145,tt0105690
nm0000539	Dina Meyer	1968	\N	actress,producer	tt0387564,tt0113481,tt0120201,tt0432348
nm0000540	Russ Meyer	1922	2004	director,cinematographer,writer	tt0075376,tt0059170,tt0078846,tt0059474
nm0000541	Bette Midler	1945	\N	soundtrack,actress,producer	tt0107120,tt0116313,tt0091877,tt0094715
nm0000542	Penelope Ann Miller	1964	\N	actress,soundtrack	tt0106519,tt0099615,tt0099938,tt1655442
nm0000543	Sal Mineo	1939	1976	actor,soundtrack,music_department	tt0049261,tt0067065,tt0053804,tt0048545
nm0000544	Carmen Miranda	1909	1955	soundtrack,actress,miscellaneous	tt0040271,tt0035916,tt0036881,tt0039277
nm0000545	Helen Mirren	1945	\N	actress,producer,director	tt1245526,tt0975645,tt0280707,tt0436697
nm0000546	Matthew Modine	1959	\N	actor,producer,director	tt2932536,tt1345836,tt0112760,tt0093058
nm0000547	Alfred Molina	1953	\N	actor,producer,soundtrack	tt0120679,tt0118749,tt0175880,tt0316654
nm0000548	Elizabeth Montgomery	1933	1995	actress,soundtrack,miscellaneous	tt0073273,tt0076981,tt0057733,tt0071868
nm0000549	Roger Moore	1927	2017	actor,miscellaneous,producer	tt0076752,tt0079574,tt0082398,tt0086034
nm0000550	Kate Mulgrew	1955	\N	actress,producer,writer	tt2372162,tt0253754,tt0112178,tt0089901
nm0000551	Dermot Mulroney	1963	\N	actor,soundtrack,music_department	tt0119738,tt1322269,tt0096487,tt0356680
nm0000552	Eddie Murphy	1961	\N	actor,writer,producer	tt0094898,tt0097481,tt0117218,tt0443489
nm0000553	Liam Neeson	1952	\N	actor,producer,soundtrack	tt0429493,tt1601913,tt0362269,tt0108052
nm0000554	Sam Neill	1947	\N	actor,producer,director	tt0163025,tt0104850,tt0107290,tt4698684
nm0000555	Judd Nelson	1959	\N	actor,writer,producer	tt0092106,tt0090060,tt0102526,tt0088847
nm0000556	Olivia Newton-John	1948	2022	music_artist,soundtrack,actress	tt0077631,tt0081777,tt0086494,tt0119094
nm0000557	Brigitte Nielsen	1963	\N	actress,soundtrack,producer	tt5073058,tt0089893,tt0092644
nm0000558	Leslie Nielsen	1926	2010	actor,producer,soundtrack	tt0095705,tt0080339,tt0069113,tt0102510
nm0000559	Leonard Nimoy	1931	2015	actor,director,soundtrack	tt0796366,tt0102975,tt0088170,tt0092007
nm0000560	Nick Nolte	1941	\N	actor,producer,soundtrack	tt0118564,tt0102713,tt0120863,tt1291584
nm0000561	Peter North	1957	\N	actor,director,producer	tt0183057,tt0128316,tt0199096,tt0160323
nm0000562	Jeremy Northam	1961	\N	actor,soundtrack	tt0284978,tt0116191,tt0155388,tt0280707
nm0000563	Chris O'Donnell	1970	\N	actor,producer,director	tt0108333,tt0105323,tt0118688,tt0190865
nm0000564	Peter O'Toole	1932	2013	actor,soundtrack,producer	tt0056172,tt0063227,tt0081568,tt0332452
nm0000565	Lena Olin	1955	\N	actress	tt0107983,tt0241303,tt0096332,tt0285333
nm0000566	Julia Ormond	1965	\N	actress,producer	tt0114319,tt1655420,tt0113071,tt0421715
nm0000567	George Orwell	1903	1950	writer	tt0087803,tt1785318,tt0048918,tt0498637
nm0000568	Frank Oz	1944	\N	actor,miscellaneous,soundtrack	tt0074028,tt0121765,tt0087755,tt0063951
nm0000569	Gwyneth Paltrow	1972	\N	actress,producer,soundtrack	tt0138097,tt0116191,tt0120148,tt1300854
nm0000570	Alan Parker	1944	2020	director,soundtrack,writer	tt0077928,tt0116250,tt0101605,tt0095647
nm0000571	Mary-Louise Parker	1964	\N	actress,producer,soundtrack	tt0790736,tt1821694,tt0439100,tt1245526
nm0000572	Sarah Jessica Parker	1965	\N	actress,producer,miscellaneous	tt0159206,tt1261945,tt0356680,tt1000774
nm0000573	Dolly Parton	1946	\N	music_artist,soundtrack,music_department	tt0162822,tt0073984,tt0092342,tt0080319
nm0000574	Jason Patric	1966	\N	actor,producer	tt0480255,tt0120179,tt0093437,tt0117665
nm0000575	Alexandra Paul	1963	\N	actress,producer,writer	tt0106689,tt0085333,tt0092925,tt0096542
nm0000576	Sean Penn	1960	\N	actor,producer,director	tt1013753,tt0315733,tt0112818,tt0327056
nm0000577	George Peppard	1928	1994	actor,assistant_director,soundtrack	tt0060177,tt0054698,tt0057917,tt0068663
nm0000578	Anthony Perkins	1932	1992	actor,soundtrack,director	tt0054215,tt0091799,tt0086154,tt0078869
nm0000579	Ron Perlman	1950	\N	actor,producer,soundtrack	tt0411477,tt0167190,tt3973768,tt0092319
nm0000580	Luke Perry	1966	2019	actor,producer,soundtrack	tt0098749,tt0103893,tt7131622,tt0119116
nm0000581	Joseph L. Mankiewicz	1909	1993	writer,producer,director	tt0042192,tt0041587,tt0056937,tt0069281
nm0000582	Joe Pesci	1943	\N	actor,soundtrack	tt0099685,tt0104952,tt1302006,tt0081398
nm0000583	Wolfgang Petersen	1941	2022	director,producer,writer	tt0088323,tt0089092,tt0082096,tt0114069
nm0000584	Amanda Peterson	1971	2015	actress	tt0083564,tt0089114,tt0092718,tt0092488
nm0000585	Robert Picardo	1953	\N	actor,soundtrack,writer	tt0112178,tt0093260,tt0117731,tt0094433
nm0000586	Jada Pinkett Smith	1971	\N	producer,actress,writer	tt0242653,tt0114608,tt0120082,tt0234215
nm0000587	Donald Pleasence	1919	1995	actor,writer,soundtrack	tt0077651,tt0062512,tt0082495,tt0057115
nm0000588	Martha Plimpton	1970	\N	actress,soundtrack,writer	tt0091557,tt0096018,tt0115639,tt0089218
nm0000589	Eve Plumb	1958	\N	actress,soundtrack,producer	tt5037914,tt2359024,tt1595859,tt9278110
nm0000590	Edgar Allan Poe	1809	1849	writer,soundtrack,miscellaneous	tt1772264,tt1663656,tt0024894,tt21321726
nm0000591	Roman Polanski	1933	\N	director,actor,writer	tt0074811,tt0071315,tt0063522,tt1139328
nm0000592	Pete Postlethwaite	1946	2011	actor,producer	tt0114814,tt1375666,tt0119567,tt0840361
nm0000593	Kelly Preston	1962	2020	actress,soundtrack	tt0312528,tt0185183,tt0116695,tt0126916
nm0000594	Jason Priestley	1969	\N	actor,producer,director	tt2334593,tt1558182,tt5722298,tt0098749
nm0000595	Victoria Principal	1950	\N	actress,producer,executive	tt0068853,tt0077000,tt0075393,tt0071455
nm0000596	Jonathan Pryce	1947	\N	actor,soundtrack,producer	tt8404614,tt0120347,tt0104348,tt3750872
nm0000597	Bill Pullman	1953	\N	actor,director,soundtrack	tt0116629,tt1628841,tt0094012,tt0116922
nm0000598	Dennis Quaid	1954	\N	actor,producer,soundtrack	tt0093260,tt0186151,tt0297884,tt0319262
nm0000599	Kathleen Quinlan	1954	\N	actress,producer,director	tt0069704,tt0118771,tt0101761,tt0112384
nm0000600	Sam Raimi	1959	\N	producer,writer,actor	tt0083907,tt0145487,tt0099365,tt0106308
nm0000601	Harold Ramis	1944	2014	writer,actor,producer	tt0083131,tt0478311,tt0087332,tt0107048
nm0000602	Robert Redford	1936	\N	producer,actor,director	tt0074119,tt0064115,tt0081283,tt0087781
nm0000603	Vanessa Redgrave	1937	\N	actress,soundtrack,producer	tt1372686,tt0104454,tt0783233,tt0892318
nm0000604	John C. Reilly	1965	\N	actor,writer,producer	tt0299658,tt0118749,tt2015381,tt0841046
nm0000605	Brad Renfro	1982	2008	actor,soundtrack,writer	tt0117665,tt0112757,tt0118636,tt0109446
nm0000606	Jean Reno	1948	\N	actor	tt0110413,tt0095250,tt0122690,tt0383216
nm0000607	Paul Reubens	1952	2023	actor,writer,soundtrack	tt0094744,tt0089791,tt0091059,tt0090500
nm0000608	Burt Reynolds	1936	2018	actor,director,producer	tt0117765,tt0082136,tt0076729,tt0118749
nm0000609	Ving Rhames	1959	\N	actor,producer,writer	tt0120755,tt2381249,tt0110912,tt0163988
nm0000610	Giovanni Ribisi	1974	\N	actor,producer,cinematographer	tt0346156,tt0219699,tt0499549,tt0181984
nm0000611	Ariana Richards	1979	\N	actress	tt0119567,tt0100814,tt0259685,tt0107290
nm0000612	Denise Richards	1971	\N	actress,producer,soundtrack	tt0120890,tt0314331,tt0143145,tt0120201
nm0000613	Joely Richardson	1965	\N	actress,producer,soundtrack	tt0361217,tt1881002,tt0187393,tt0115433
nm0000614	Alan Rickman	1946	2016	actor,soundtrack,writer	tt0408236,tt0102798,tt0177789,tt0095016
nm0000615	John Ritter	1948	2003	actor,producer,soundtrack	tt0117666,tt0307987,tt0075596,tt0100419
nm0000616	Eric Roberts	1956	\N	actor,producer,soundtrack	tt1791528,tt0089941,tt1320253,tt0468569
nm0000617	Tanya Roberts	1949	2021	actress,producer	tt0090264,tt0165598,tt0083630,tt0088103
nm0000618	Isabella Rossellini	1952	\N	actress,director,writer	tt2316411,tt0104070,tt0106881,tt0090756
nm0000619	Tim Roth	1961	\N	actor,producer,soundtrack	tt0110912,tt3460252,tt0114287,tt0133152
nm0000620	Mickey Rourke	1952	\N	actor,writer,producer	tt0401792,tt1125849,tt1228705,tt0092563
nm0000621	Kurt Russell	1951	\N	actor,producer,soundtrack	tt0116225,tt0084787,tt3460252,tt0082340
nm0000622	Theresa Russell	1957	\N	actress,soundtrack,miscellaneous	tt0413300,tt0098093,tt0120890,tt0080408
nm0000623	Rene Russo	1954	\N	actress,producer	tt0117438,tt0122151,tt0155267,tt2872718
nm0000624	Laura San Giacomo	1961	\N	actress,soundtrack	tt0118364,tt0098724,tt0100405,tt0102744
nm0000625	Fred Savage	1976	\N	actor,director,producer	tt0295178,tt0094582,tt0093779,tt0090768
nm0000626	John Sayles	1950	\N	writer,actor,director	tt0119657,tt0095082,tt0116905,tt0087004
nm0000627	Greta Scacchi	1960	\N	actress	tt0116191,tt0105151,tt0102900,tt0217629
nm0000628	Johnathon Schaech	1969	\N	actor,writer,producer	tt11695190,tt0117887,tt0926129,tt0159276
nm0000629	Claudia Schiffer	1970	\N	actress,producer	tt2802144,tt0110989,tt0196229,tt0314331
nm0000630	Liev Schreiber	1967	\N	actor,producer,miscellaneous	tt0368008,tt0404030,tt0458525,tt1895587
nm0000631	Ridley Scott	1937	\N	producer,director,production_designer	tt0083658,tt0103074,tt2193215,tt3659388
nm0000632	Jerry Seinfeld	1954	\N	producer,writer,actor	tt0098904,tt2314952,tt0389790,tt12117854
nm0000633	Tom Selleck	1945	\N	actor,producer,writer	tt1595859,tt0080240,tt0094137,tt0119360
nm0000634	Peter Sellers	1925	1980	actor,soundtrack,writer	tt0075066,tt0072081,tt0078841,tt0057012
nm0000635	Yahoo Serious	1953	\N	director,actor,writer	tt0156807,tt6893696,tt0096486,tt0107930
nm0000636	William Shakespeare	1564	1616	writer,soundtrack,miscellaneous	tt10095582,tt14297038,tt20711868,tt8632012
nm0000637	Tupac Shakur	1971	1996	music_artist,soundtrack,composer	tt0104573,tt0107840,tt0118900,tt0109035
nm0000638	William Shatner	1931	\N	actor,producer,writer	tt0098382,tt0088170,tt0084726,tt0092007
nm0000639	Ally Sheedy	1962	\N	actress,producer,soundtrack	tt0086567,tt0088847,tt0139362,tt0091949
nm0000640	Martin Sheen	1940	\N	actor,producer,soundtrack	tt0407887,tt0069762,tt0078788,tt1441912
nm0000641	Gary Sinise	1955	\N	actor,producer,director	tt0109830,tt0105046,tt0117438,tt0112384
nm0000642	Marina Sirtis	1955	\N	actress,producer,soundtrack	tt0117731,tt0111280,tt0375679,tt0120844
nm0000643	Tom Skerritt	1933	\N	actor,director,producer	tt0098384,tt0092099,tt0118884,tt0078748
nm0000644	Helen Slater	1963	\N	actress,soundtrack,writer	tt0089470,tt0088206,tt0091877,tt0093936
nm0000645	Anna Nicole Smith	1967	2007	actress,miscellaneous,producer	tt0110074,tt0110622,tt0377471,tt0758754
nm0000646	Jaclyn Smith	1945	\N	actress,producer,soundtrack	tt0073972,tt0065374,tt5033998,tt0094791
nm0000647	Alan Smithee	\N	\N	director,actor,writer	tt0118577,tt28795838,tt4591238,tt27881541
nm0000648	Wesley Snipes	1962	\N	actor,producer,soundtrack	tt0105812,tt0120611,tt0106697,tt0102526
nm0000649	Paul Sorvino	1939	2022	actor,soundtrack,director	tt0099685,tt0102803,tt0963194,tt0113987
nm0000650	Talisa Soto	1967	\N	actress	tt0113855,tt0119707,tt0097742,tt0117723
nm0000651	Sissy Spacek	1949	\N	actress,soundtrack,art_department	tt1454029,tt0247425,tt0080549,tt0074285
nm0000652	James Spader	1960	\N	actor,producer,soundtrack	tt2395427,tt2741602,tt0402711,tt0098724
nm0000653	Brent Spiner	1949	\N	actor,soundtrack,director	tt0253754,tt0117731,tt0111280,tt1628841
nm0000654	Terence Stamp	1938	\N	actor,soundtrack,director	tt0109045,tt0165854,tt1047011,tt1385826
nm0000655	Eric Stoltz	1961	\N	actor,producer,director	tt0289879,tt0089560,tt0110912,tt0094006
nm0000656	Madeleine Stowe	1958	\N	actress,director,writer	tt0114746,tt0144214,tt0104691,tt0108122
nm0000657	David Strathairn	1949	\N	actor,producer,soundtrack	tt0119488,tt0443272,tt0433383,tt0831387
nm0000658	Meryl Streep	1949	\N	actress,soundtrack,producer	tt1322269,tt0084707,tt2180411,tt0089755
nm0000659	Barbra Streisand	1942	\N	music_artist,soundtrack,actress	tt0117057,tt0062994,tt0086619,tt0070903
nm0000660	Tami Stronach	1972	\N	actress,producer	tt12623434,tt6557704,tt0088323,tt3222644
nm0000661	Donald Sutherland	1935	\N	actor,soundtrack,producer	tt1951264,tt0066026,tt1951265,tt0414387
nm0000662	Kiefer Sutherland	1966	\N	actor,producer,miscellaneous	tt1527186,tt0183649,tt0285331,tt0790686
nm0000663	Dominique Swain	1980	\N	actress,producer,assistant_director	tt0203975,tt0119094,tt0426883,tt0119558
nm0000664	Patrick Swayze	1952	2009	actor,soundtrack,producer	tt0102685,tt0092890,tt0099653,tt0098206
nm0000665	D.B. Sweeney	\N	\N	actor,soundtrack,director	tt0463963,tt10128846,tt0106912,tt0104040
nm0000666	Lili Taylor	1967	\N	actress,writer,soundtrack	tt0116594,tt1457767,tt3488298
nm0000667	David Thewlis	1963	\N	actor,soundtrack,writer	tt0107653,tt2980516,tt0466909,tt1201607
nm0000668	Emma Thompson	1959	\N	actress,writer,soundtrack	tt0314331,tt2140373,tt0107943,tt0114388
nm0000669	Fred Thompson	1942	2015	actor	tt0099810,tt0093640,tt1922777,tt0109190
nm0000670	Lea Thompson	1961	\N	actress,director,producer	tt1727381,tt0088763,tt5039578,tt1758772
nm0000671	Billy Bob Thornton	1955	\N	actor,writer,soundtrack	tt0120591,tt0117666,tt0243133,tt0120324
nm0000672	Meg Tilly	1960	\N	actress,writer	tt0085244,tt0088683,tt0106452,tt0086154
nm0000673	Marisa Tomei	1964	\N	actress,producer,soundtrack	tt0247425,tt1125849,tt0104952,tt1596363
nm0000674	Tamlyn Tomita	1966	\N	actress,writer,producer	tt0091326,tt0319262,tt0406759,tt0411951
nm0000675	Jeanne Tripplehorn	1963	\N	actress,soundtrack	tt0106918,tt0103772,tt0114898,tt0120148
nm0000676	Chris Tucker	1971	\N	actor,soundtrack,writer	tt0120812,tt0119695,tt1045658,tt0266915
nm0000677	Robin Tunney	1972	\N	actress,soundtrack	tt0115963,tt0146675,tt0112950,tt0190865
nm0000678	Kathleen Turner	1954	\N	actress,soundtrack,producer	tt0088011,tt0111127,tt0082089,tt0091738
nm0000679	Deborah Kara Unger	1966	\N	actress,producer,miscellaneous	tt0119174,tt1441912,tt0384537,tt0328538
nm0000680	Casper Van Dien	1968	\N	actor,producer,director	tt0120201,tt0162661,tt0437086,tt0120856
nm0000681	Vince Vaughn	1970	\N	producer,actor,writer	tt0452594,tt0396269,tt5657856,tt1078940
nm0000682	Paul Verhoeven	1938	\N	director,producer,writer	tt3716530,tt0389557,tt0164052,tt0093870
nm0000683	Gore Vidal	1925	2012	writer,actor	tt0041061,tt0119177,tt0111732,tt0080491
nm0000684	Nana Visitor	1957	\N	actress,soundtrack	tt0106145,tt2637276,tt0758746,tt0485301
nm0000685	Jon Voight	1938	\N	actor,producer,writer	tt0068473,tt0118615,tt0089941,tt0064665
nm0000686	Christopher Walken	1943	\N	actor,soundtrack,producer	tt1931533,tt0264464,tt0114194,tt0077416
nm0000687	J.T. Walsh	1943	1998	actor	tt0117666,tt0107665,tt0104257,tt0118771
nm0000688	Sela Ward	1956	\N	actress,producer	tt0106977,tt0338096,tt2267998,tt1628841
nm0000689	Julie Warner	1965	\N	actress,director,producer	tt0114694,tt0099582,tt0430634,tt0101745
nm0000690	Lesley Ann Warren	1946	\N	actress,soundtrack,producer	tt0084865,tt0088930,tt0057950,tt0410975
nm0000691	John Waters	1946	\N	actor,writer,director	tt0095270,tt0126604,tt0387575,tt0069089
nm0000692	Teri Weigel	1962	\N	actress	tt0100403,tt0096889,tt0100114,tt0098257
nm0000693	Peter Weller	1947	\N	actor,director,soundtrack	tt0102511,tt0086856,tt0093870,tt0100502
nm0000694	Wim Wenders	1945	\N	director,producer,writer	tt0093191,tt0087884,tt0107209,tt0101458
nm0000695	Joanne Whalley	1961	\N	actress	tt0120483,tt0090521,tt0096446,tt0090424
nm0000696	Wil Wheaton	1972	\N	actor,writer,producer	tt0103112,tt0092455,tt0092005,tt0084649
nm0000697	Billy Wilder	1906	2002	writer,director,producer	tt0053604,tt0047437,tt0043014,tt0053291
nm0000698	Gene Wilder	1933	2016	actor,soundtrack,writer	tt0072431,tt0067992,tt0063462,tt0075223
nm0000699	Michael Wincott	1958	\N	actor	tt0109506,tt0108333,tt0102798,tt0114558
nm0000700	Debra Winger	1955	\N	actress,soundtrack,producer	tt0084434,tt0086425,tt1084950,tt0081696
nm0000701	Kate Winslet	1975	\N	actress,producer,soundtrack	tt0120338,tt0114388,tt0338013,tt0959337
nm0000702	Reese Witherspoon	1976	\N	producer,actress,soundtrack	tt0358273,tt0250494,tt2305051,tt0126886
nm0000703	BD Wong	1960	\N	actor,soundtrack,director	tt0369610,tt0107290,tt0120762,tt4158110
nm0000704	Elijah Wood	1981	\N	actor,producer,soundtrack	tt0120737,tt0338013,tt0167260,tt0167261
nm0000705	Robin Wright	1966	\N	actress,producer,director	tt0093779,tt0109830,tt0217869,tt0442933
nm0000706	Michelle Yeoh	1962	\N	actress,producer,writer	tt6710474,tt3104988,tt0190332,tt0120347
nm0000707	Sean Young	1959	\N	actress,miscellaneous,director	tt1856101,tt0087182,tt0093640,tt0083658
nm0000708	Billy Zane	1966	\N	actor,producer,soundtrack	tt0120338,tt0096874,tt0097162,tt0117331
nm0000709	Robert Zemeckis	1952	\N	producer,writer,director	tt0118884,tt0088763,tt1907668,tt0109830
nm0000710	David Raksin	1912	2004	music_department,composer,soundtrack	tt0027977,tt0037008,tt0119668,tt0458339
nm0000711	Rick Baker	1950	\N	make_up_department,special_effects,actor	tt0133152,tt0780653,tt0119654,tt0170016
nm0000712	Steve Cohen	\N	\N	assistant_director,director,miscellaneous	tt0089218,tt0098844,tt0363685,tt0143213
nm0000713	Joel Oliansky	1935	2002	writer,director,actor	tt0069599,tt0205655,tt0096108,tt0065278
nm0000714	Willie Aames	1960	\N	actor,writer,director	tt0084945,tt0075500,tt0086681,tt21193618
nm0000715	Caroline Aaron	1952	\N	actress,producer,miscellaneous	tt0108160,tt1232829,tt0099487,tt0118954
nm0000716	Paula Abdul	1962	\N	soundtrack,actress,miscellaneous	tt3513500,tt0358082,tt0093894
nm0000717	Kareem Abdul-Jabbar	1947	\N	actor,producer,writer	tt0080339,tt0113097,tt0089155,tt11564570
nm0000718	Ian Abercrombie	1934	2012	actor,miscellaneous	tt0106308,tt0455499,tt0106220,tt1185834
nm0000719	F. Murray Abraham	1939	\N	actor,soundtrack	tt0120844,tt0086879,tt2278388,tt0113819
nm0000720	Jim Abrahams	1944	\N	writer,producer,director	tt0088286,tt0102059,tt0083466,tt0080339
nm0000721	Victoria Abril	1959	\N	actress,soundtrack	tt0284491,tt0094822,tt0101026,tt0103030
nm0000722	Joss Ackland	1928	\N	actor,soundtrack	tt0078480,tt0099810,tt0097733,tt0101452
nm0000723	Deborah Adair	1952	\N	actress	tt0081856,tt0058796,tt0069658,tt0099701
nm0000724	Brooke Adams	1949	\N	actress,producer,writer	tt0077745,tt0103157,tt0085407,tt0077405
nm0000725	Joey Lauren Adams	1968	\N	actress,soundtrack,director	tt0142342,tt0118842,tt0106677,tt2996684
nm0000726	Maud Adams	1945	\N	actress,director	tt0073631,tt0083178,tt0086034,tt0071807
nm0000727	Percy Adlon	1935	\N	director,writer,producer	tt0090377,tt0082225,tt0095801,tt0108636
nm0000728	Mario Adorf	1930	\N	actor,soundtrack,writer	tt0078875,tt0103432,tt0067315,tt0112154
nm0000729	Casey Affleck	1975	\N	actor,producer,writer	tt4034228,tt0443680,tt6063090,tt6265828
nm0000730	John Agar	1921	2002	actor,music_department	tt0040369,tt0074751,tt0041841,tt0049516
nm0000731	Brian Aherne	1902	1986	actor,soundtrack	tt0027067,tt0036203,tt0057547,tt0030442
nm0000732	Danny Aiello	1933	2019	actor,producer,soundtrack	tt0097216,tt0099871,tt0110413,tt0093565
nm0000733	Anouk Aimée	1932	\N	actress	tt0053779,tt0055093,tt0061138,tt0056801
nm0000734	Eddie Albert	1906	2005	actor,soundtrack,producer	tt0058808,tt0068687,tt0056197,tt0046250
nm0000735	Brian Aldiss	1925	2017	writer,actor	tt0099612,tt1590816,tt0212720,tt0432260
nm0000736	Robert Aldrich	1918	1983	director,assistant_director,producer	tt0071771,tt0070030,tt0061578,tt0056687
nm0000737	Jane Alexander	1939	\N	actress,producer,soundtrack	tt0079417,tt0074119,tt0124315,tt0298130
nm0000738	Muhammad Ali	1942	2016	actor,soundtrack,writer	tt0077003,tt0056406,tt0076111,tt0118147
nm0000739	Debbie Allen	1950	\N	producer,actress,director	tt0413573,tt0118607,tt0080716,tt0083412
nm0000740	Irwin Allen	1916	1991	writer,producer,director	tt0072308,tt0069113,tt0057798,tt0044009
nm0000741	Tim Allen	1953	\N	actor,producer,miscellaneous	tt0101120,tt0114709,tt0177789,tt0111070
nm0000742	June Allyson	1917	2006	actress,soundtrack	tt0040876,tt0041594,tt0041928,tt0046963
nm0000743	Néstor Almendros	1930	1992	cinematographer,director,camera_department	tt0080453,tt0084707,tt0077405,tt0079417
nm0000744	Maria Conchita Alonso	1957	\N	actress,soundtrack,producer	tt0100403,tt0092997,tt1186370,tt0093894
nm0000745	Carol Alt	1960	\N	actress,producer,miscellaneous	tt0112829,tt0119951,tt1859650,tt0484207
nm0000746	Trini Alvarado	1967	\N	actress,soundtrack	tt0100691,tt0110367,tt0116365,tt11324406
nm0000747	Don Ameche	1908	1993	actor,soundtrack,director	tt0086465,tt0107131,tt0035979,tt0088933
nm0000748	Leon Ames	1902	1993	actor,soundtrack	tt0066473,tt0043880,tt0091738,tt0037059
nm0000749	Mädchen Amick	1970	\N	actress,director,producer	tt5420376,tt0098936,tt0105665,tt0109665
nm0000750	Jon Amiel	1948	\N	director,producer,writer	tt0137494,tt0100822,tt0298814,tt0112722
nm0000751	Suzy Amis	1962	\N	actress,producer,soundtrack	tt0106350,tt0120338,tt0114814,tt0109303
nm0000752	Judith Anderson	1897	1992	actress,soundtrack	tt0051459,tt0032976,tt0037008,tt0088170
nm0000753	Juliet Anderson	1938	2010	actress,director,producer	tt0082069,tt0183031,tt0082707,tt0265023
nm0000754	Kevin Anderson	1960	\N	actor,soundtrack,stunts	tt0118411,tt0093683,tt0102945,tt0413895
nm0000755	Lindsay Anderson	1923	1994	director,actor,writer	tt0057578,tt0063850,tt0082158,tt0083694
nm0000756	Loni Anderson	1945	\N	actress,soundtrack	tt0120770,tt0077097,tt0086379,tt0096787
nm0000757	Melissa Sue Anderson	1962	\N	actress,producer,soundtrack	tt0071007,tt0082498,tt0088513,tt0463850
nm0000758	Melody Anderson	1955	\N	actress	tt0091055,tt0082242,tt0080745,tt0098369
nm0000759	Paul Thomas Anderson	1970	\N	director,writer,producer	tt11271038,tt0118749,tt0272338,tt0469494
nm0000760	Richard Dean Anderson	1950	\N	actor,producer,soundtrack	tt0374455,tt0929629,tt0088559,tt0118480
nm0000761	Bibi Andersson	1935	2019	actress,soundtrack	tt0050986,tt0050976,tt0837106,tt0060827
nm0000762	Anthony Andrews	1948	\N	actor,producer,soundtrack	tt0088322,tt0083390,tt1504320,tt0084637
nm0000763	Dana Andrews	1909	1992	actor,soundtrack	tt0037691,tt0049949,tt0037008,tt0036868
nm0000764	André René Roussimoff	1946	1993	actor	tt0071054,tt0250824,tt0093779,tt0087718
nm0000765	Pier Angeli	1932	1971	actress,soundtrack	tt0049778,tt0044112,tt0058947,tt0056504
nm0000766	Theodoros Angelopoulos	1935	2012	director,writer,producer	tt0114863,tt0081148,tt0096288,tt0156794
nm0000767	Jean-Hugues Anglade	1955	\N	actor,director,writer	tt0090095,tt0110963,tt0090563,tt0100263
nm0000768	Francesca Annis	1945	\N	actress	tt0077042,tt0375920,tt0087182,tt0085811
nm0000769	Susan Anspach	1942	2018	actress,soundtrack	tt0069097,tt0082770,tt0069808,tt0065724
nm0000770	David Anspaugh	1946	\N	producer,director	tt4196848,tt0081873,tt0091217,tt0108002
nm0000771	Lysette Anthony	1963	\N	actress,producer	tt0112896,tt0104466,tt0096454,tt0085811
nm0000772	Susan Anton	1950	\N	actress,soundtrack,producer	tt0087032,tt0096542,tt0078694,tt0079225
